timestamp,pre_IIE_mean,pre_IIE_var,pre_ctx,pre_num_faces,pre_num_mutual_gaze,time_delta,post_IIE_mean,raw_delta,label,reward_ref,gate_count
1764939400.2442508,0.6501,0.0625,0,2,2,10.00,0.7726,0.1225,1,0.1989,0
1764939437.2639897,0.7683,0.0429,0,2,2,41.00,0.6071,-0.1612,0,-0.2226,1
1764939495.248661,0.6019,0.0738,0,2,2,52.01,0.6207,0.0188,0,0.0003,2
1764939549.3127534,0.6504,0.0609,0,2,2,60.00,0.7656,0.1152,1,0.1880,3
1764939595.2522368,0.7707,0.0445,1,2,2,38.01,0.7431,-0.0276,0,0.0616,4
1764939640.285008,0.6644,0.0504,0,2,2,54.00,0.8250,0.1607,1,0.2223,5
