timestamp,proactive_action,pre_IIE_mean,pre_IIE_var,pre_ctx,pre_num_faces,pre_num_mutual_gaze,post_IIE_mean,post_IIE_var,post_ctx,post_num_faces,post_num_mutual_gaze,q_value,epsilon
1764939373.22,ao_curious_lean_in,0.6501,0.0625,0,2,2,0.7726,0.0459,0,2,2,0.0000,0.8000
1764939414.22,ao_coffee_break,0.7683,0.0429,0,2,2,0.6071,0.0727,0,2,2,0.0000,0.7661
1764939466.23,ao_curious_lean_in,0.6019,0.0738,0,2,2,0.6207,0.0790,0,2,2,0.0597,0.7336
1764939531.23,ao_curious_lean_in,0.6504,0.0609,0,2,2,0.7656,0.0473,1,2,2,0.0583,0.7025
1764939569.24,ao_curious_lean_in,0.7707,0.0445,1,2,2,0.7431,0.0402,0,2,2,0.0000,0.6727
1764939623.24,ao_curious_lean_in,0.6644,0.0504,0,2,2,0.8250,0.1323,0,2,2,0.0972,0.6442
